date,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
2024-04-29,14.972,14.326167,13.74075,12.636582,17.026167,16.576166
2024-04-30,16.369919,15.763667,14.7845,13.657417,17.52408,17.199083
2024-05-01,14.088668,12.817836,15.549084,14.709498,16.842833,17.032415
2024-05-02,14.028251,9.805334,15.799083,12.769916,16.257418,18.55533
2024-05-03,11.4574175,12.788669,15.674083,14.090752,14.857417,15.642834
2024-05-04,13.0199175,11.782417,16.269915,15.699082,17.367834,10.297
2024-05-05,12.117832,9.932417,16.424084,15.088666,17.665752,9.92825
2024-05-06,10.213666,10.555333,16.846998,13.324082,17.326168,10.899085
2024-05-07,13.228249,9.709499,16.647001,11.957417,15.3845,10.380334
2024-05-08,14.236585,14.319917,17.263666,12.07825,14.649081,9.513667
2024-05-09,17.594917,18.646997,17.921999,14.074084,15.451168,11.278249
2024-05-10,18.940748,21.082417,19.394917,15.447,15.9261675,12.101167
2024-05-11,17.478249,16.719915,21.276165,11.578248,16.549084,10.980332
2024-05-12,8.34075,12.849084,19.784498,11.909499,16.755335,11.830335
2024-05-13,9.836583,11.572001,17.771997,12.080333,15.451167,14.080334
2024-05-14,12.274082,13.215749,18.697,13.888667,16.16992,11.361583
2024-05-15,9.555333,14.169915,19.72825,13.440749,17.155333,9.763668
2024-05-16,12.207417,12.226167,17.990751,10.874084,16.813667,11.432416
2024-05-17,14.355331,13.4365835,16.055334,11.663669,13.592834,11.097001
2024-05-18,16.953249,12.586583,16.35325,13.963666,15.797001,12.357414
2024-05-19,19.144915,12.9595,20.180334,17.713663,17.753248,14.5345
2024-05-20,17.369915,13.894916,20.67825,19.438667,17.982416,15.432418
2024-05-21,14.719916,12.203251,17.271997,19.151167,18.649084,15.263667
2024-05-22,15.078251,10.8740835,17.057417,18.661581,17.603249,11.451167
2024-05-23,13.8595,11.861584,18.082415,16.149082,18.259499,12.1095
2024-05-24,14.263667,12.178249,16.644915,16.369915,17.301167,14.184501
2024-05-25,12.72825,12.719916,17.880333,17.786581,17.738665,16.332415
2024-05-26,13.3740835,13.653253,19.269917,17.07825,19.053251,16.686583
2024-05-27,14.851166,13.836583,15.1865835,17.338667,20.451166,16.663668
2024-05-28,14.94075,13.297001,13.632419,18.613665,18.872,15.509499
2024-05-29,14.030332,12.744916,14.824082,18.769917,18.257418,14.9365835
2024-05-30,13.5345,14.1449175,16.980333,19.611582,19.96575,19.744917
2024-05-31,12.205335,14.817833,19.619915,19.742834,17.657415,21.255333
2024-06-01,16.794916,15.853251,19.386583,19.767834,16.321999,21.063667
2024-06-02,16.019915,17.9345,21.732416,17.124083,17.486584,18.774084
2024-06-03,17.357418,19.411581,22.226166,14.930331,17.767834,21.226168
2024-06-04,18.242836,20.772,22.39283,17.02825,16.351168,22.069918
2024-06-05,15.630333,20.442833,19.913668,17.77825,18.165749,21.83658
2024-06-06,18.772001,21.347,20.99075,17.93033,21.138666,21.274084
2024-06-07,20.85325,22.436584,19.592833,18.44075,20.692835,16.399082
2024-06-08,15.901166,22.817833,18.47825,17.882416,21.613668,15.399083
2024-06-09,18.090748,21.901169,19.6845,19.624084,21.526163,17.619919
2024-06-10,16.322,20.738668,20.580336,19.417833,18.7095,17.786585
2024-06-11,18.182415,22.144915,21.536583,17.471998,17.855331,17.217833
2024-06-12,20.75533,16.882416,19.513662,16.472002,14.936584,18.421999
2024-06-13,23.242834,17.003252,17.380335,16.549086,14.688667,18.994919
2024-06-14,21.336584,20.255335,18.597,17.961582,16.209497,21.505333
2024-06-15,20.388666,23.257416,20.657415,19.35325,18.984499,19.332418
